1,44669
2,24584
3,15954
4,11596
5,8602
6,7133
7,5934
8,4712
9,3945
10,3447
11,2962
12,2572
13,2278
14,2096
15,1898
16,1682
17,1545
18,1382
19,1263
20,1234
21,1088
22,1087
23,951
24,842
25,838
26,770
27,717
28,650
29,604
30,567
31,567
32,504
33,474
34,466
35,431
36,418
37,390
38,415
39,364
40,340
41,345
42,306
43,292
44,259
45,259
46,267
47,256
48,261
49,242
50,185
51,217
52,194
53,228
54,192
55,182
56,173
57,172
58,154
59,148
60,173
61,162
62,149
63,132
64,150
65,128
66,125
67,124
68,132
69,119
70,129
71,106
72,98
73,103
74,108
75,93
76,105
77,92
78,94
79,78
80,91
81,87
82,89
83,89
84,73
85,75
86,71
87,73
88,63
89,69
90,72
91,51
92,59
93,69
94,67
95,65
96,52
97,54
98,61
99,45
100,61
101,50
102,46
103,44
104,36
105,50
106,40
107,50
108,41
109,33
110,39
111,40
112,46
113,50
114,34
115,45
116,35
117,40
118,32
119,27
120,38
121,28
122,33
123,41
124,30
125,34
126,36
127,33
128,26
129,32
130,36
131,30
132,25
133,25
134,34
135,33
136,25
137,25
138,27
139,29
140,27
141,21
142,28
143,17
144,12
145,17
146,10
147,23
148,31
149,17
150,20
151,14
152,14
153,19
154,22
155,23
156,21
157,17
158,13
159,21
160,16
161,21
162,20
163,19
164,21
165,27
166,16
167,17
168,19
169,13
170,10
171,14
172,11
173,13
174,16
175,15
176,27
177,26
178,19
179,14
180,19
181,17
182,12
183,20
184,10
185,17
186,25
187,15
188,10
189,9
190,12
191,17
192,15
193,14
194,6
195,10
196,7
197,14
198,15
199,12
200,5
201,10
202,11
203,6
204,10
205,8
206,11
207,16
208,10
209,14
210,9
211,9
212,10
213,7
214,17
215,11
216,5
217,5
218,9
219,14
220,7
221,10
222,8
223,10
224,8
225,11
226,7
227,8
228,6
229,8
230,10
231,4
232,8
233,8
234,7
235,8
236,11
237,5
238,10
239,9
240,7
241,13
242,4
243,8
244,5
245,10
246,4
247,5
248,8
249,14
250,11
251,7
252,7
253,6
254,7
255,6
256,7
257,6
258,11
259,10
260,4
261,11
262,7
263,2
264,6
265,5
266,6
267,7
269,7
270,7
271,4
272,6
273,6
274,5
275,5
276,5
277,3
278,3
279,5
280,2
281,3
282,7
283,8
284,9
285,4
286,3
287,4
288,7
289,8
290,2
291,3
292,2
293,5
294,5
295,3
296,3
297,10
298,5
299,4
300,3
301,4
302,4
303,3
304,4
305,6
306,2
307,2
308,3
309,3
310,8
311,4
312,1
313,5
314,6
315,5
316,9
317,4
318,4
319,3
320,4
321,8
322,3
323,3
324,5
325,2
326,3
327,1
328,3
329,3
331,6
332,8
333,5
334,2
335,7
336,2
337,2
339,2
340,6
341,2
342,4
343,2
344,4
345,1
346,5
347,4
348,1
349,1
350,1
351,2
352,3
353,3
354,3
355,3
356,1
357,1
358,3
359,2
360,2
361,1
362,1
363,1
364,3
365,1
366,5
367,2
368,1
369,1
370,4
371,6
372,3
373,7
374,2
375,5
376,6
377,5
379,1
380,1
381,2
382,4
383,2
384,3
385,5
386,1
387,4
388,2
389,1
390,3
391,5
393,3
394,4
397,3
398,2
400,4
401,1
402,1
403,2
404,2
406,2
407,1
408,1
409,1
410,1
411,4
412,5
413,1
414,1
415,3
416,3
418,2
419,1
420,3
421,1
422,2
423,2
424,1
425,1
426,1
427,2
428,1
431,2
432,4
433,1
434,4
435,3
436,1
437,3
438,1
439,4
440,5
441,3
442,3
443,1
444,1
445,4
446,1
447,2
453,2
454,1
455,2
457,4
458,3
459,1
460,1
462,2
464,1
466,2
467,4
468,1
469,2
470,1
471,3
472,2
473,2
475,1
476,1
477,1
478,3
479,1
480,1
481,1
482,2
483,2
485,1
486,1
489,4
490,1
494,3
495,1
496,1
497,1
498,1
501,1
502,2
503,3
504,2
506,1
507,2
508,3
509,3
510,1
511,1
512,1
514,2
518,2
519,2
521,1
522,3
523,4
525,1
527,1
528,2
529,1
530,1
531,1
533,2
534,1
535,1
536,2
537,3
538,1
539,1
541,1
542,1
543,1
544,1
545,1
546,1
547,2
548,1
549,1
552,1
553,1
554,1
555,1
557,2
558,1
559,2
561,1
563,2
566,1
567,1
569,1
570,3
572,2
575,1
576,1
578,1
579,1
580,2
582,1
584,1
585,1
588,2
591,1
594,1
595,1
596,1
597,1
598,1
599,1
603,2
604,1
605,1
606,1
608,2
609,1
610,1
611,2
614,1
615,1
617,2
619,1
620,1
622,1
623,2
627,2
631,3
633,1
634,1
638,1
639,1
640,1
644,1
650,1
651,2
652,1
653,2
654,1
655,1
657,2
662,1
667,2
668,2
672,2
674,1
676,1
678,1
679,1
680,1
682,1
683,1
685,2
687,1
690,1
692,2
698,1
701,2
703,1
704,1
707,2
708,2
710,1
716,1
720,2
721,1
723,1
725,2
728,1
732,1
733,1
734,1
741,2
747,1
749,2
751,1
752,1
756,1
757,2
760,1
766,1
771,1
772,1
774,2
776,1
777,1
779,1
781,1
789,1
802,1
803,3
810,1
820,2
823,2
829,1
831,1
833,1
835,1
840,1
842,1
844,1
845,1
862,1
863,1
864,2
868,1
870,2
872,2
880,1
897,1
901,1
903,1
906,1
908,1
912,1
913,1
922,1
926,1
927,1
935,2
938,1
950,1
958,1
959,1
962,1
964,1
967,2
968,1
969,1
970,1
981,1
982,1
986,1
989,1
1000,1
1019,1
1034,1
1047,1
1063,1
1066,1
1081,1
1087,2
1091,1
1092,2
1093,2
1094,1
1096,1
1097,1
1100,1
1102,1
1110,1
1111,1
1123,1
1151,1
1153,1
1162,1
1164,1
1170,1
1175,1
1177,1
1185,1
1187,1
1194,1
1196,1
1197,1
1200,1
1201,1
1209,1
1218,1
1227,2
1242,1
1261,1
1280,1
1296,2
1316,1
1349,1
1354,1
1361,1
1376,1
1379,1
1386,1
1393,1
1395,1
1413,1
1416,1
1418,1
1422,1
1430,1
1459,1
1476,1
1481,1
1504,1
1527,2
1536,1
1539,1
1546,1
1553,1
1557,1
1579,1
1630,1
1646,1
1710,1
1714,1
1720,1
1738,1
1765,1
1779,1
1782,1
1784,1
1853,1
1857,1
1863,1
1868,1
1869,1
1874,1
1879,1
1895,1
1904,1
1908,1
1939,1
1947,1
2066,1
2067,1
2103,1
2117,1
2146,1
2224,1
2285,1
2305,1
2621,1
2720,1
3119,1
3170,1
3830,1
